Provincienaam,Datum,ML,Low_90,High_90,Low_50,High_50
Drenthe,2020-05-28,3.0,1.01,6.99,2.04,4.45
Drenthe,2020-05-29,2.88,0.9500000000000001,6.22,2.04,4.21
Drenthe,2020-05-30,2.7800000000000002,0.96,5.8,2.0,4.01
Drenthe,2020-05-31,2.69,0.98,5.5200000000000005,1.94,3.83
Drenthe,2020-06-02,2.91,1.11,5.7,2.08,4.0
Drenthe,2020-06-03,2.74,1.06,5.23,2.0100000000000002,3.7600000000000002
Drenthe,2020-06-04,2.62,1.03,4.91,1.95,3.58
Drenthe,2020-06-05,2.5100000000000002,0.99,4.65,1.9000000000000001,3.44
Drenthe,2020-06-06,2.43,0.96,4.45,1.77,3.23
Drenthe,2020-06-07,2.35,0.93,4.28,1.71,3.11
Drenthe,2020-06-08,2.14,0.76,3.9,1.6300000000000001,2.95
Drenthe,2020-06-09,2.12,0.8,3.91,1.58,2.88
Drenthe,2020-06-10,2.1,0.79,3.87,1.51,2.79
Drenthe,2020-06-11,2.07,0.78,3.83,1.54,2.81
Drenthe,2020-06-12,2.06,0.76,3.7800000000000002,1.54,2.8000000000000003
Drenthe,2020-06-13,2.04,0.72,3.71,1.54,2.79
Drenthe,2020-06-14,2.02,0.72,3.69,1.52,2.7600000000000002
Drenthe,2020-06-15,2.0,0.72,3.67,1.51,2.74
Drenthe,2020-06-16,1.98,0.7000000000000001,3.63,1.49,2.71
Flevoland,2020-03-10,3.0,1.01,6.99,2.04,4.45
Flevoland,2020-03-11,2.88,0.9500000000000001,6.22,2.04,4.21
Flevoland,2020-03-12,3.14,1.1,6.36,2.2800000000000002,4.48
Flevoland,2020-03-13,3.24,1.24,6.1000000000000005,2.39,4.44
Flevoland,2020-03-14,2.92,1.1500000000000001,5.33,2.12,3.88
Flevoland,2020-03-15,2.94,1.22,5.13,2.22,3.87
Flevoland,2020-03-16,2.88,1.27,4.88,2.22,3.74
Flevoland,2020-03-17,2.63,1.19,4.45,2.06,3.43
Flevoland,2020-03-18,2.46,1.09,4.1,1.8800000000000001,3.14
Flevoland,2020-03-19,2.32,1.04,3.87,1.85,3.04
Flevoland,2020-03-20,2.32,1.03,3.75,1.84,2.98
Flevoland,2020-03-21,2.3000000000000003,1.09,3.7,1.84,2.93
Flevoland,2020-03-22,2.17,1.02,3.49,1.74,2.77
Flevoland,2020-03-23,2.15,1.05,3.43,1.74,2.73
Flevoland,2020-03-24,2.12,1.03,3.31,1.73,2.68
